No,Codigo,Descripcion,dai,isc,ispc,isv,nivel,nivel-padre,padre,partida
19,0103.9,- Los demás:,0.00,0.00,0.00,0.00,3,1,0103,- Los demás: | Animales vivos de la especie porcina
20,0103.91.00.00,- - De peso inferior a 50 kg,0.10,0.00,0.00,0.00,10,3,0103.9,- - De peso inferior a 50 kg | - Los demás: | Animales vivos de la especie porcina
21,0103.92.00.00,- - De peso superior o igual a 50 kg,0.10,0.00,0.00,0.00,10,3,0103.9,- - De peso superior o igual a 50 kg | - Los demás: | Animales vivos de la especie porcina
22,0104,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA,0.00,0.00,0.00,0.00,1,0,,Animales vivos de las especies ovina o caprina
23,0104.1,- De la especie ovina:,0.00,0.00,0.00,0.00,3,1,0104,- De la especie ovina: | Animales vivos de las especies ovina o caprina
24,0104.10.10.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0104.1,- - Reproductores de raza pura | - De la especie ovina: | Animales vivos de las especies ovina o caprina
25,0104.10.90.00,- - Otros,0.10,0.00,0.00,0.00,10,3,0104.1,- - Otros | - De la especie ovina: | Animales vivos de las especies ovina o caprina
26,0104.2,- De la especie caprina:,0.00,0.00,0.00,0.00,3,1,0104,- De la especie caprina: | Animales vivos de las especies ovina o caprina
27,0104.20.10.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0104.2,- - Reproductores de raza pura | - De la especie caprina: | Animales vivos de las especies ovina o caprina
28,0104.20.90.00,- - Otros,0.10,0.00,0.00,0.00,10,3,0104.2,- - Otros | - De la especie caprina: | Animales vivos de las especies ovina o caprina
29,0105,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS",0.00,0.00,0.00,0.00,1,0,,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
30,0105.1,- De peso inferior o igual a 185 g:,0.00,0.00,0.00,0.00,3,1,0105,"- De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
31,0105.11.00.00,- - Aves de la especie Gallus domesticus,0.00,0.00,0.00,0.00,10,3,0105.1,"- - Aves de la especie Gallus domesticus | - De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
32,0105.12.00.00,- - Pavos (gallipavos),0.00,0.00,0.00,0.00,10,3,0105.1,"- - Pavos (gallipavos) | - De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
33,0105.13.00.00,- - Patos,0.10,0.00,0.00,0.00,10,3,0105.1,"- - Patos | - De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
34,0105.14.00.00,- - Gansos,0.10,0.00,0.00,0.00,10,3,0105.1,"- - Gansos | - De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
35,0105.15.00.00,- - Pintadas,0.10,0.00,0.00,0.00,10,3,0105.1,"- - Pintadas | - De peso inferior o igual a 185 g: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
36,0105.9,- Los demás:,0.00,0.00,0.00,0.00,3,1,0105,"- Los demás: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
37,0105.94.00.00,- - Aves de la especie Gallus domesticus,0.10,0.00,0.00,0.00,10,3,0105.9,"- - Aves de la especie Gallus domesticus | - Los demás: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
38,0105.99.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0105.9,"- - Los demás | - Los demás: | Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos"
39,0106,LOS DEMÁS ANIMALES VIVOS,0.00,0.00,0.00,0.00,1,0,,Los demás animales vivos
40,0106.1,- Mamíferos:,0.00,0.00,0.00,0.00,3,1,0106,- Mamíferos: | Los demás animales vivos
41,0106.11.00.00,- - Primates,0.10,0.00,0.00,0.00,10,3,0106.1,- - Primates | - Mamíferos: | Los demás animales vivos
42,0106.12.00.00,"- - Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",0.10,0.00,0.00,0.00,10,3,0106.1,"- - Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia) | - Mamíferos: | Los demás animales vivos"
43,0106.13.00.00,- - Camellos y demás camélidos (Camelidae),0.10,0.00,0.00,0.00,10,3,0106.1,- - Camellos y demás camélidos (Camelidae) | - Mamíferos: | Los demás animales vivos
44,0106.14.00.00,- - Conejos y liebres,0.10,0.00,0.00,0.00,10,3,0106.1,- - Conejos y liebres | - Mamíferos: | Los demás animales vivos
45,0106.19.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0106.1,- - Los demás | - Mamíferos: | Los demás animales vivos
46,0106.20.00.00,- Reptiles (incluidas las serpientes y tortugas de mar),0.10,0.00,0.00,0.00,10,1,0106,- Reptiles (incluidas las serpientes y tortugas de mar) | Los demás animales vivos
47,0106.3,- Aves:,0.00,0.00,0.00,0.00,3,1,0106,- Aves: | Los demás animales vivos
48,0106.31.00.00,- - Aves de rapiña,0.10,0.00,0.00,0.00,10,3,0106.3,- - Aves de rapiña | - Aves: | Los demás animales vivos
49,0106.32.00.00,"- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",0.10,0.00,0.00,0.00,10,3,0106.3,"- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos) | - Aves: | Los demás animales vivos"
50,0106.33.00.00,- - Avestruces; emúes (Dromaius novaehollandiae),0.10,0.00,0.00,0.00,10,3,0106.3,- - Avestruces; emúes (Dromaius novaehollandiae) | - Aves: | Los demás animales vivos
51,0106.39.00.00,- - Las demás,0.10,0.00,0.00,0.00,10,3,0106.3,- - Las demás | - Aves: | Los demás animales vivos
52,0106.4,- Insectos:,0.00,0.00,0.00,0.00,3,1,0106,- Insectos: | Los demás animales vivos
53,0106.41.00.00,- - Abejas,0.00,0.00,0.00,0.00,10,3,0106.4,- - Abejas | - Insectos: | Los demás animales vivos
54,0106.49.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0106.4,- - Los demás | - Insectos: | Los demás animales vivos
55,0106.90.00.00,- Los demás,0.10,0.00,0.00,0.00,10,1,0106,- Los demás | Los demás animales vivos
56,0201,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA",0.00,0.00,0.00,0.00,1,0,,"Carne de animales de la especie bovina, fresca o refrigerada"
57,0201.10.00.00,- En canales o medias canales,0.00,0.00,0.00,0.00,10,1,0201,"- En canales o medias canales | Carne de animales de la especie bovina, fresca o refrigerada"
58,0201.20.00.00,- Los demás cortes (trozos) sin deshuesar,0.00,0.00,0.00,0.15,10,1,0201,"- Los demás cortes (trozos) sin deshuesar | Carne de animales de la especie bovina, fresca o refrigerada"
59,0201.20.00.00.02,"- Cortes sin deshuesar frescos y refrigerados: costilla de res, carne con hueso (hueso para sopa), chuleta de res, excepto los denominados cortes especiales: new york, T-Bone, ribeye y las demás de calidad “prime y choice”.",0.00,0.00,0.00,0.00,13,10,0201.20.00.00,"- Cortes sin deshuesar frescos y refrigerados: costilla de res, carne con hueso (hueso para sopa), chuleta de res, excepto los denominados cortes especiales: new york, T-Bone, ribeye y las demás de calidad “prime y choice”. | - Los demás cortes (trozos) sin deshuesar | Carne de animales de la especie bovina, fresca o refrigerada"
60,0201.30.00.00,- Deshuesada,0.00,0.00,0.00,0.15,10,1,0201,"- Deshuesada | Carne de animales de la especie bovina, fresca o refrigerada"
61,0201.30.00.00.02,"- Cortes deshuesados frescos o refrigerados: tajo de res, bistec de res, carne molida, carne para asar, lomo de res, mano de piedra y milanesa, excepto los denominados cortes especiales: delmonico, new york, picaña, filet migñon, brisket boneless, entre- cort, fajitas de cortes especiales y las demás de
calidad “prime y choice”.",0.00,0.00,0.00,0.00,13,10,0201.30.00.00,"- Cortes deshuesados frescos o refrigerados: tajo de res, bistec de res, carne molida, carne para asar, lomo de res, mano de piedra y milanesa, excepto los denominados cortes especiales: delmonico, new york, picaña, filet migñon, brisket boneless, entre- cort, fajitas de cortes especiales y las demás de
calidad “prime y choice”. | - Deshuesada | Carne de animales de la especie bovina, fresca o refrigerada"
62,0202,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA",0.00,0.00,0.00,0.00,1,0,,"Carne de animales de la especie bovina, congelada"
63,0202.10.00.00,- En canales o medias canales,0.00,0.00,0.00,0.00,10,1,0202,"- En canales o medias canales | Carne de animales de la especie bovina, congelada"
64,0202.20.00.00,- Los demás cortes (trozos) sin deshuesar,0.00,0.00,0.00,0.15,10,1,0202,"- Los demás cortes (trozos) sin deshuesar | Carne de animales de la especie bovina, congelada"
65,0202.20.00.00.02,"- Cortes sin deshuesar congelados: costilla de res, carne con hueso (hueso para sopa), chuleta de res, excepto los denominados cortes especiales: new yok, T-Bone, ribeye y las demás de calidad “prime y choice”.",0.00,0.00,0.00,0.00,13,10,0202.20.00.00,"- Cortes sin deshuesar congelados: costilla de res, carne con hueso (hueso para sopa), chuleta de res, excepto los denominados cortes especiales: new yok, T-Bone, ribeye y las demás de calidad “prime y choice”. | - Los demás cortes (trozos) sin deshuesar | Carne de animales de la especie bovina, congelada"
66,0202.30.00.00,- Deshuesada,0.00,0.00,0.00,0.15,10,1,0202,"- Deshuesada | Carne de animales de la especie bovina, congelada"
67,0202.30.00.00.02,"- Cortes deshuesados congelados: tajo de res, bistec de res, carne molida, carne para asar, lomo de res, mano de piedra y milanesa, excepto los denominados cortes especiales: delmonico, new york, picaña, filet migñon, brisket boneless, entre-cort, fajitas de cortes especiales y las demás de calidad “prime y choice”.",0.00,0.00,0.00,0.00,13,10,0202.30.00.00,"- Cortes deshuesados congelados: tajo de res, bistec de res, carne molida, carne para asar, lomo de res, mano de piedra y milanesa, excepto los denominados cortes especiales: delmonico, new york, picaña, filet migñon, brisket boneless, entre-cort, fajitas de cortes especiales y las demás de calidad “prime y choice”. | - Deshuesada | Carne de animales de la especie bovina, congelada"
68,0203,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA",0.00,0.00,0.00,0.00,1,0,,"Carne de animales de la especie porcina, fresca, refrigerada o congelada"
69,0203.1,- Fresca o refrigerada:,0.00,0.00,0.00,0.00,3,1,0203,"- Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
70,0203.11.00.00,- - En canales o medias canales,0.00,0.00,0.00,0.00,10,3,0203.1,"- - En canales o medias canales | - Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
71,0203.12.00.00,"- - Jamones, paletas y sus trozos, sin deshuesar",0.00,0.00,0.00,0.15,10,3,0203.1,"- - Jamones, paletas y sus trozos, sin deshuesar | - Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
72,0203.12.00.00.01,- - Pierna de cerdo y Chuleta de pierna de cerdo,0.00,0.00,0.00,0.00,13,10,0203.12.00.00,"- - Pierna de cerdo y Chuleta de pierna de cerdo | - - Jamones, paletas y sus trozos, sin deshuesar | - Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
73,0203.19.00.00,- - Las demás,0.00,0.00,0.00,0.15,10,3,0203.1,"- - Las demás | - Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
74,0203.19.00.00.01,"- - Costilla de cerdo, Chuleta, tajo de cerdo, carne molida, lomo de cerdo y milanesa",0.00,0.00,0.00,0.00,13,10,0203.19.00.00,"- - Costilla de cerdo, Chuleta, tajo de cerdo, carne molida, lomo de cerdo y milanesa | - - Las demás | - Fresca o refrigerada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
75,0203.2,- Congelada:,0.00,0.00,0.00,0.00,3,1,0203,"- Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
76,0203.21.00.00,- - En canales o medias canales,0.00,0.00,0.00,0.00,10,3,0203.2,"- - En canales o medias canales | - Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
77,0203.22.00.00,"- - Jamones, paletas y sus trozos, sin deshuesar",0.00,0.00,0.00,0.15,10,3,0203.2,"- - Jamones, paletas y sus trozos, sin deshuesar | - Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
78,0203.22.00.00.01,- - Pierna de cerdo y Chuleta de pierna de cerdo,0.00,0.00,0.00,0.00,13,10,0203.22.00.00,"- - Pierna de cerdo y Chuleta de pierna de cerdo | - - Jamones, paletas y sus trozos, sin deshuesar | - Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
79,0203.29.00.00,- - Las demás,0.00,0.00,0.00,0.15,10,3,0203.2,"- - Las demás | - Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
80,0203.29.00.00.01,"- - Costilla de cerdo, Chuleta, tajo de cerdo, carne molida, lomo de cerdo y milanesa",0.00,0.00,0.00,0.00,13,10,0203.29.00.00,"- - Costilla de cerdo, Chuleta, tajo de cerdo, carne molida, lomo de cerdo y milanesa | - - Las demás | - Congelada: | Carne de animales de la especie porcina, fresca, refrigerada o congelada"
81,0204,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA",0.00,0.00,0.00,0.00,1,0,,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
82,0204.10.00.00,"- Canales o medias canales, de cordero, frescas o refrigeradas",0.15,0.00,0.00,0.15,10,1,0204,"- Canales o medias canales, de cordero, frescas o refrigeradas | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
83,0204.2,"- Las demás carnes de animales de la especie ovina, frescas o refrigeradas:",0.00,0.00,0.00,0.00,3,1,0204,"- Las demás carnes de animales de la especie ovina, frescas o refrigeradas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
84,0204.21.00.00,- - En canales o medias canales,0.15,0.00,0.00,0.15,10,3,0204.2,"- - En canales o medias canales | - Las demás carnes de animales de la especie ovina, frescas o refrigeradas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
85,0204.22.00.00,- - Los demás cortes (trozos) sin deshuesar,0.15,0.00,0.00,0.15,10,3,0204.2,"- - Los demás cortes (trozos) sin deshuesar | - Las demás carnes de animales de la especie ovina, frescas o refrigeradas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
86,0204.23.00.00,- - Deshuesadas,0.15,0.00,0.00,0.15,10,3,0204.2,"- - Deshuesadas | - Las demás carnes de animales de la especie ovina, frescas o refrigeradas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
87,0204.30.00.00,"- Canales o medias canales, de cordero, congeladas",0.15,0.00,0.00,0.15,10,1,0204,"- Canales o medias canales, de cordero, congeladas | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
88,0204.4,"- Las demás carnes de animales de la especie ovina, congeladas:",0.00,0.00,0.00,0.00,3,1,0204,"- Las demás carnes de animales de la especie ovina, congeladas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
89,0204.41.00.00,- - En canales o medias canales,0.15,0.00,0.00,0.15,10,3,0204.4,"- - En canales o medias canales | - Las demás carnes de animales de la especie ovina, congeladas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
90,0204.42.00.00,- - Los demás cortes (trozos) sin deshuesar,0.15,0.00,0.00,0.15,10,3,0204.4,"- - Los demás cortes (trozos) sin deshuesar | - Las demás carnes de animales de la especie ovina, congeladas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
91,0204.43.00.00,- - Deshuesadas,0.15,0.00,0.00,0.15,10,3,0204.4,"- - Deshuesadas | - Las demás carnes de animales de la especie ovina, congeladas: | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
92,0204.50.00.00,- Carne de animales de la especie caprina,0.15,0.00,0.00,0.15,10,1,0204,"- Carne de animales de la especie caprina | Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada"
93,0205.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA",0.15,0.00,0.00,0.15,10,0,,#N/A
94,0206,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS",0.00,0.00,0.00,0.00,1,0,,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
95,0206.10.00.00,"- De la especie bovina, frescos o refrigerados",0.00,0.00,0.00,0.00,10,1,0206,"- De la especie bovina, frescos o refrigerados | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
96,0206.2,"- De la especie bovina, congelados:",0.00,0.00,0.00,0.00,3,1,0206,"- De la especie bovina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
97,0206.21.00.00,- - Lenguas,0.00,0.00,0.00,0.00,10,3,0206.2,"- - Lenguas | - De la especie bovina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
98,0206.22.00.00,- - Hígados,0.00,0.00,0.00,0.00,10,3,0206.2,"- - Hígados | - De la especie bovina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
99,0206.29.00.00,- - Los demás,0.00,0.00,0.00,0.00,10,3,0206.2,"- - Los demás | - De la especie bovina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
100,0206.3,"- De la especie porcina, frescos o refrigerados:",0.00,0.00,0.00,0.00,3,1,0206,"- De la especie porcina, frescos o refrigerados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
101,0206.30.10.00,- - Piel,0.00,0.00,0.00,0.00,10,3,0206.3,"- - Piel | - De la especie porcina, frescos o refrigerados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
102,0206.30.90.00,- - Otros,0.00,0.00,0.00,0.00,10,3,0206.3,"- - Otros | - De la especie porcina, frescos o refrigerados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
103,0206.4,"- De la especie porcina, congelados:",0.00,0.00,0.00,0.00,3,1,0206,"- De la especie porcina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
104,0206.41.00.00,- - Hígados,0.00,0.00,0.00,0.00,10,3,0206.4,"- - Hígados | - De la especie porcina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
105,0206.49,- - Los demás:,0.00,0.00,0.00,0.00,4,3,0206.4,"- - Los demás: | - De la especie porcina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
106,0206.49.10.00,- - - Piel,0.00,0.00,0.00,0.00,10,4,0206.49,"- - - Piel | - - Los demás: | - De la especie porcina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
107,0206.49.90.00,- - - Otros,0.00,0.00,0.00,0.00,10,4,0206.49,"- - - Otros | - - Los demás: | - De la especie porcina, congelados: | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
108,0206.80.00.00,"- Los demás, frescos o refrigerados",0.00,0.00,0.00,0.15,10,1,0206,"- Los demás, frescos o refrigerados | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
109,0206.90.00.00,"- Los demás, congelados",0.00,0.00,0.00,0.15,10,1,0206,"- Los demás, congelados | Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados"
110,0207,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS",0.00,0.00,0.00,0.00,1,0,,"Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
111,0207.1,- De aves de la especie Gallus domesticus:,0.00,0.00,0.00,0.00,3,1,0207,"- De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
112,0207.11.00.00,"- - Sin trocear, frescos o refrigerados",0.00,0.00,0.00,0.00,10,3,0207.1,"- - Sin trocear, frescos o refrigerados | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
113,0207.12.00.00,"- - Sin trocear, congelados",0.00,0.00,0.00,0.00,10,3,0207.1,"- - Sin trocear, congelados | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
114,0207.13,"- - Trozos y despojos, frescos o refrigerados:",0.00,0.00,0.00,0.00,4,3,0207.1,"- - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
115,0207.13.10.00,"- - - En pasta, deshuesados mecánicamente",0.05,0.00,0.00,0.15,10,4,0207.13,"- - - En pasta, deshuesados mecánicamente | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
116,0207.13.9,- - - Otros:,0.00,0.00,0.00,0.00,6,4,0207.13,"- - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
117,0207.13.91.00,- - - - Pechugas,0.00,0.00,0.00,0.00,10,6,0207.13.9,"- - - - Pechugas | - - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
118,0207.13.92.00,- - - - Alas,0.00,0.00,0.00,0.00,10,6,0207.13.9,"- - - - Alas | - - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
119,0207.13.93.00,"- - - - Muslos, piernas, incluso unidos",0.00,0.00,0.00,0.00,10,6,0207.13.9,"- - - - Muslos, piernas, incluso unidos | - - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
120,0207.13.94.00,"- - - - Muslos, piernas, que incluyan en su presentación otros trozos, incluso unidos",0.00,0.00,0.00,0.00,10,6,0207.13.9,"- - - - Muslos, piernas, que incluyan en su presentación otros trozos, incluso unidos | - - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
121,0207.13.99.00,- - - - Los demás,0.00,0.00,0.00,0.00,10,6,0207.13.9,"- - - - Los demás | - - - Otros: | - - Trozos y despojos, frescos o refrigerados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
122,0207.14,"- - Trozos y despojos, congelados:",0.00,0.00,0.00,0.00,4,3,0207.1,"- - Trozos y despojos, congelados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
123,0207.14.10.00,"- - - En pasta, deshuesados mecánicamente",0.05,0.00,0.00,0.15,10,4,0207.14,"- - - En pasta, deshuesados mecánicamente | - - Trozos y despojos, congelados: | - De aves de la especie Gallus domesticus: | Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados"
